SQRP SY2020 Individual Indicator Scores (Based on 2018-2019 Data),,,,,,NWEA MAP Growth Indicators - All Students,,,,,,,,,,,,NWEA MAP Growth Indicators - Priority Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWEA MAP Attainment Indicators,,,,,,,,,,,,,,,,ACCESS,,,,Other Indicators,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2019-2020 SQRP Rating,SY 2019-2020 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,"Pct of Students Making Sufficent 
Annual Progress",,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,
400079,ACERO - ZIZUMBO,Charter,3.3,Level 1,Not Applicable,48,100,3,15,43,100,3,15,54.3,100,3,10,.,.,.,.,48,100,3,1.25,60,100,4,1.25,.,.,.,.,.,.,.,.,43,100,3,1.25,68,100,4,1.25,.,.,.,.,77,100,4,5,74,100,4,5,84,100,4,2.5,68,100,3,2.5,23.3,100,1,5,95.6,4,20,Partially Organized,2,10,99.9,5,5,
400080,ACERO - TORRES,Charter,3.2,Level 1,Not Applicable,56,100,3,15,61,100,3,15,57.3,100,3,10,.,.,.,.,56,100,4,1.25,56,100,4,1.25,.,.,.,.,.,.,.,.,65,100,4,1.25,77,100,5,1.25,.,.,.,.,70,100,4,5,74,100,4,5,72,100,4,2.5,58,100,3,2.5,26,100,2,5,95.7,4,20,Not Yet Organized,1,10,99.9,5,5,
400081,ACERO - DE LAS CASAS,Charter,3.8,Level 1,Not Applicable,81,100,4,15,66,100,3,15,62.5,100,4,10,.,.,.,.,79,100,5,1.25,58,100,4,1.25,.,.,.,.,.,.,.,.,66,100,4,1.25,63,100,4,1.25,.,.,.,.,59,100,3,5,60,100,3,5,36,100,2,2.5,20,100,2,2.5,31.4,98,2,5,96.3,5,20,Organized,4,10,100,5,5,
400082,ACERO - FUENTES,Charter,3.7,Level 1,Not Applicable,46,100,3,15,47,100,3,15,52.9,100,3,10,.,.,.,.,46,100,3,1.25,12,100,2,1.25,.,.,.,.,.,.,.,.,47,100,3,1.25,6,100,1,1.25,.,.,.,.,72,100,4,5,73,100,4,5,61,98,3,2.5,72,98,4,2.5,15,100,1,5,96.1,5,20,Well Organized,5,10,100,5,5,
400083,ACERO - PAZ,Charter,3.4,Level 2+,Not Applicable,70,100,4,15,40,100,3,15,50.8,100,3,10,.,.,.,.,70,100,5,1.25,68,100,4,1.25,.,.,.,.,.,.,.,.,45,100,3,1.25,25,100,2,1.25,.,.,.,.,53,100,3,5,24,100,2,5,64,100,3,2.5,47,100,3,2.5,16.6,99,1,5,95.8,4,20,Organized,4,10,100,5,5,
400084,ACERO - TAMAYO,Charter,4.4,Level 1+,Not Applicable,83,100,4,15,72,100,4,15,66.5,100,4,10,.,.,.,.,83,100,5,1.25,75,100,5,1.25,.,.,.,.,.,.,.,.,72,100,5,1.25,57,100,4,1.25,.,.,.,.,73,100,4,5,73,100,4,5,93,100,5,2.5,80,100,4,2.5,42.4,100,3,5,96.8,5,20,Well Organized,5,10,100,5,5,
400089,ACERO - MARQUEZ,Charter,4.2,Level 1+,Not Applicable,81,100,4,15,84,100,4,15,64.4,100,4,10,.,.,.,.,81,100,5,1.25,58,100,4,1.25,.,.,.,.,.,.,.,.,84,100,5,1.25,72,100,5,1.25,.,.,.,.,73,100,4,5,69,100,3,5,77,100,4,2.5,77,100,4,2.5,32.2,100,2,5,96,5,20,Well Organized,5,10,99.7,5,5,
400092,CICS - BOND,Charter,3,Level 2+,Not Applicable,21,99,2,18.75,72,99,4,18.75,51.8,99,3,10,21,100,2,1.25,.,.,.,.,.,.,.,.,.,.,.,.,72,100,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,28,99,2,5,40,99,3,5,34,100,2,2.5,27,100,2,2.5,.,.,.,.,93.5,2,20,Well Organized,5,10,99.7,5,5,
400096,ROWE,Charter,3.2,Level 2+,Not Applicable,78,100,4,12.5,30,100,2,12.5,55.9,100,3,10,68,100,4,1.25,76,100,5,1.25,52,100,4,1.25,86,100,5,1.25,17,100,2,1.25,34,100,3,1.25,30,100,3,1.25,3,100,1,1.25,72,100,4,5,64,100,3,5,63,100,3,2.5,58,100,3,2.5,34.2,100,2,5,95.1,4,20,Partially Organized,2,10,99.6,5,5,
400101,ACERO - CISNEROS,Charter,3.5,Level 1,Not Applicable,64,100,3,15,65,100,3,15,56.9,100,3,10,.,.,.,.,66,100,4,1.25,50,100,4,1.25,.,.,.,.,.,.,.,.,65,100,4,1.25,45,100,3,1.25,.,.,.,.,75,100,4,5,66,100,3,5,91,100,5,2.5,71,100,4,2.5,34.3,100,2,5,96.4,5,20,Partially Organized,2,10,99.8,5,5,
400107,LEARN - SOUTH CHICAGO,Charter,3,Level 2+,Not Applicable,52,99,3,15,77,99,4,16.25,59.2,99,3,10,52,99,4,1.25,.,.,.,.,.,.,.,.,70,100,5,1.25,76,99,5,1.25,.,.,.,.,.,.,.,.,.,.,.,.,44,99,3,5,53,99,3,5,57,100,3,2.5,61,100,3,2.5,18.2,95,1,5,94.7,3,20,Not Yet Organized,1,10,99.7,5,5,
400111,LEARN - PERKINS,Charter,4.4,Level 1+,Not Applicable,91,100,5,17.5,70,100,4,17.5,64.2,100,4,10,90,100,5,1.25,.,.,.,.,.,.,.,.,82,100,5,1.25,70,100,5,1.25,.,.,.,.,.,.,.,.,84,100,5,1.25,68,100,3,5,53,100,3,5,36,100,2,2.5,38,100,2,2.5,.,.,.,.,96.4,5,20,Well Organized,5,10,100,5,5,
400112,ACERO - IDAR,Charter,3.1,Level 2+,Not Applicable,62,100,3,15,34,100,2,15,56.3,100,3,10,.,.,.,.,62,100,4,1.25,60,100,4,1.25,.,.,.,.,.,.,.,.,34,100,3,1.25,48,100,3,1.25,.,.,.,.,65,100,3,5,75,100,4,5,51,100,3,2.5,26,100,2,2.5,22.9,100,1,5,96.3,5,20,Not Yet Organized,1,10,100,5,5,
400114,ACERO - SANTIAGO,Charter,3.5,Level 1,Not Applicable,48,100,3,15,16,100,2,15,49.8,100,2,10,.,.,.,.,46,100,3,1.25,25,100,2,1.25,.,.,.,.,.,.,.,.,15,100,2,1.25,7,100,1,1.25,.,.,.,.,78,100,4,5,81,100,4,5,68,100,3,2.5,92,100,5,2.5,24.1,99,1,5,97.5,5,20,Well Organized,5,10,99.9,5,5,
400116,MONTESSORI ENGLEWOOD,Charter,3,Level 2+,Not Applicable,64,100,3,18.75,47,100,3,18.75,49.1,100,2,10,56,100,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,47,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,4,100,1,5,3,100,1,5,1,100,1,2.5,1,100,1,2.5,.,.,.,.,95.9,4,20,Organized,4,10,100,5,5,
400120,ACERO - CLEMENTE,Charter,3.4,Level 2+,Not Applicable,75,100,4,15,66,100,3,15,57.2,100,3,10,.,.,.,.,75,100,5,1.25,83,100,5,1.25,.,.,.,.,.,.,.,.,68,100,4,1.25,63,100,4,1.25,.,.,.,.,54,100,3,5,49,100,3,5,78,100,4,2.5,74,100,4,2.5,26.8,100,2,5,95.8,4,20,Partially Organized,2,10,100,5,5,
400146,KIPP - ACADEMY,Charter,4.4,Level 1+,Not Applicable,91,100,5,17.5,80,100,4,17.5,66.4,100,4,10,91,100,5,1.25,.,.,.,.,.,.,.,.,76,100,5,1.25,81,100,5,1.25,.,.,.,.,.,.,.,.,88,100,5,1.25,59,100,3,7.5,55,100,3,7.5,.,.,.,.,.,.,.,.,.,.,.,.,97.1,5,20,Well Organized,5,10,99.7,5,5,
400151,LEARN - 7,Charter,2.6,Level 2,Not Applicable,58,98,3,18.75,37,100,2,18.75,48,99,2,10,58,99,4,1.25,.,.,.,.,.,.,.,.,.,.,.,.,37,100,3,1.25,.,.,.,.,.,.,.,.,.,.,.,.,14,98,2,5,18,100,2,5,5,100,1,2.5,8,100,1,2.5,.,.,.,.,93.8,2,20,Well Organized,5,10,100,5,5,
